"Length","Cycles"
1,25219
2,25219
3,25223
4,25223
5,25223
6,25227
7,25223
8,25227
9,25227
10,25231
11,25227
12,25231
13,25231
14,25231
15,25231
16,25235
17,25235
18,25235
19,25239
20,25239
21,25239
22,25239
23,25243
24,25239
25,25247
26,25247
27,25243
28,25243
29,25247
30,25247
31,25251
32,25247
33,25251
34,25255
35,25255
36,25251
37,25255
38,25255
39,25255
40,25259
41,25259
42,25259
43,25263
44,25263
45,25263
46,25263
47,25267
48,25267
49,25267
50,25271
51,25271
52,25271
53,25271
54,25275
55,25267
56,25311
