"len","cycles"
1,11799
2,11799
3,11807
4,11811
5,11811
6,11815
7,11819
8,11819
9,11823
10,11827
11,11827
12,11831
13,11835
14,11839
15,11839
16,11847
17,11847
18,11851
19,11851
20,11855
21,11859
22,11863
23,11863
24,11871
25,11871
26,11871
27,11879
28,11879
29,11883
30,11887
31,11891
32,11895
33,11895
34,11895
35,11903
36,11903
37,11907
38,11911
39,11915
40,11915
41,11919
42,11919
43,11927
44,11927
45,11931
46,11935
47,11939
48,11939
49,11943
50,11943
51,11947
52,11951
53,11955
54,11959
55,11955
56,12023
